trade_date,symbol,isin,series,instrument_name,open,high,low,close,last_price,previous_close,volume,turnover
2026-08-07,20MICRONS,INE144J01027,EQ,20 MICRONS LTD,191.71,193.59,187.9,189.07,187.9,191.71,126589,24141315.92
2026-08-07,21STCENMGM,INE253B01015,EQ,21ST CENTURY MGMT SERVICE,44.0,44.0,43.07,43.58,43.7,43.3,7409,324214.61
2026-08-07,360ONE,INE466L01038,EQ,360 ONE WAM LIMITED,1185.6,1192.8,1151.0,1168.1,1168.1,1186.0,1707560,2004353941.6
2026-08-07,GOLD360,INF579M01BB5,EQ,360ONEAMC - GOLD360,144.4,145.9,143.05,145.5,145.55,144.05,47600,6899625.85
2026-08-07,MSCI360,INF579M01BP5,EQ,360ONEAMC - MSCI360,10.35,10.36,10.34,10.35,10.35,10.35,269,2784.46
2026-08-07,SILVER360,INF579M01BC3,EQ,360ONEAMC - SILVER360,221.98,238.99,220.85,229.16,226.02,220.44,39539,8888775.1
2026-08-07,3BBLACKBIO,INE994E01018,EQ,3B BLACKBIO DX LTD.,1193.0,1224.5,1193.0,1207.7,1216.2,1205.9,1984,2395452.4
2026-08-07,3IINFOLTD,INE748C01038,EQ,3I INFOTECH LIMITED,25.33,25.94,25.2,25.79,25.65,25.5,1181251,30319269.35
2026-08-07,3MINDIA,INE470A01017,EQ,3M INDIA LIMITED,35940.0,36270.0,35870.0,36035.0,35925.0,36000.0,3976,143330285.0
2026-08-07,3PLAND,INE105C01023,EQ,3P LAND HOLDINGS LIMITED,32.12,32.5,31.9,32.12,32.2,32.1,1519,48948.13
2026-08-07,5PAISA,INE618L01018,EQ,5PAISA CAPITAL LIMITED,372.4,372.4,364.45,367.55,366.95,366.1,22993,8465845.8
2026-08-07,63MOONS,INE111B01023,EQ,63 MOONS TECHNOLOGIES LTD,856.8,889.8,847.15,857.75,858.5,858.2,473840,411712532.9
2026-08-07,ABCOTS,INE08PH01015,EQ,A B COTSPIN INDIA LIMITED,201.9,201.9,197.0,198.71,200.8,200.87,10218,2046438.46
2026-08-07,ABINFRA,INE00YB01025,EQ,A B INFRABUILD LIMITED,10.01,10.16,9.9,9.96,9.96,10.01,255072,2543210.13
2026-08-07,ABMKNO,INE850B01026,EQ,A B M KNOWLEDGEWARE LTD.,191.0,191.0,185.0,186.21,189.88,190.87,1192,223787.17
2026-08-07,ACSTECH,INE366C01021,EQ,A C S TECHNOLOGIES LTD.,46.21,47.0,44.5,46.0,45.99,45.97,328712,14889160.02
2026-08-07,AGUL,INE0O6N01012,SM,A G UNIVERSAL LIMITED,56.45,56.45,56.45,56.45,56.45,59.35,2000,112900.0
2026-08-07,AKCAPIT,INE701G01012,EQ,A K CAPITAL SERVICES LTD.,1713.8,1739.9,1700.0,1720.7,1720.0,1690.3,1753,3020285.9
2026-08-07,A2ZINFRA,INE619I01012,EQ,A2Z INFRA ENGINEERING LTD,17.0,17.5,16.73,17.39,17.38,16.73,443981,7680596.98
2026-08-07,AAATECH,INE0D0U01013,EQ,AAA TECHNOLOGIES LIMITED,93.12,95.2,90.62,91.95,92.2,93.12,64491,6050819.2
2026-08-07,AADHARHFC,INE883F01010,EQ,AADHAR HOUSING FINANCE L,515.4,516.8,502.0,506.4,502.0,514.9,271851,138093316.15
2026-08-07,AAKAAR,INE1GYP01013,SM,AAKAAR MEDICAL TECHNO LTD,64.1,64.1,60.5,60.5,60.5,63.65,14400,877360.0
